NGS_ID,UnifiedID
NGS0609,UNIFIED_000116
NGS0610,UNIFIED_000097
NGS0611,UNIFIED_000101
NGS0612,UNIFIED_000282
NGS0613,UNIFIED_000287
NGS0614,UNIFIED_000281
NGS0615,UNIFIED_000051
NGS0616,UNIFIED_000043
NGS0617,UNIFIED_000067
NGS0618,UNIFIED_000288
NGS0619,UNIFIED_000289
NGS0620,UNIFIED_000286
NGS0623,UNIFIED_000290
NGS0624,UNIFIED_000133
NGS0625,UNIFIED_000002
NGS0626,UNIFIED_000003
NGS0627,UNIFIED_000174
NGS0628,UNIFIED_000291
